case,domain,tier,multifile,cluttered,n_files,formats,n_models,bare_acc,fella_acc,delta,bare_close,fella_close
fqa-refusal,reading,refusal,0,0,1,csv,10,0.8,0.5,-0.3,0.788,0.8
fqa-read-top-genre-pages,reading,cat-groupby,0,0,1,csv,10,0.9,0.8,-0.1,0.8,0.8
fqa-subs-cheapest,subscriptions,text-min,0,1,1,xlsx,10,0.0,0.9,0.9,0.8,0.795
fqa-subs-inactive-count,subscriptions,num-filter,0,0,1,xlsx,10,0.0,0.9,0.9,0.3,0.75
fqa-fit-total-distance,fitness,num-aggregate,0,1,1,csv,10,0.1,0.9,0.8,0.237,0.767
fqa-screen-total,screen-time,num-aggregate,0,0,1,tsv,10,0.1,0.9,0.8,0.245,0.75
fqa-fit-avg-session,fitness,num-avg,0,0,1,csv,10,0.2,0.9,0.7,0.302,0.737
fqa-fit-total-min,fitness,num-aggregate,0,0,1,csv,10,0.2,0.9,0.7,0.336,0.75
fqa-fin-total-2024,spending,num-aggregate,0,0,1,csv,10,0.3,0.9,0.6,0.339,0.747
fqa-sleep-avg-hours,sleep,num-avg,0,0,1,jsonl,10,0.3,0.9,0.6,0.491,0.735
fqa-mf-most-over-budget,spending,mf-join-compare,1,0,2,csv,10,0.4,0.9,0.5,0.8,0.767
fqa-fit-run-count,fitness,num-filter,0,0,1,csv,10,0.6,0.9,0.3,0.486,0.75
fqa-fit-distinct-activities,fitness,distinct-count,0,0,1,csv,10,0.7,0.9,0.2,0.497,0.75
fqa-fin-q1-2024,spending,num-filter,0,0,1,csv,10,0.8,0.9,0.1,0.568,0.72
fqa-trip-avg-nights,travel,num-avg,0,0,1,csv,10,0.8,0.9,0.1,0.639,0.747
fqa-mf-pages-british,reading,mf-join-aggregate,1,0,2,csv,10,0.9,0.9,0.0,0.639,0.748
fqa-read-finished-count,reading,bool-filter,0,0,1,csv,10,0.9,0.9,0.0,0.669,0.75
fqa-contacts-close-count,contacts,cat-filter,0,0,1,json,10,1.0,0.9,-0.1,0.696,0.75
fqa-contacts-countries,contacts,distinct-count,0,1,1,json,10,1.0,0.9,-0.1,0.71,0.767
fqa-read-genres,reading,distinct-count,0,1,2,csv,10,1.0,0.9,-0.1,0.71,0.75
fqa-read-longest,reading,text-max,0,0,1,csv,10,1.0,0.9,-0.1,0.788,0.79
fqa-read-unfinished,reading,text-list,0,0,1,csv,10,1.0,0.9,-0.1,0.8,0.8
fqa-trip-longest,travel,text-max,0,1,1,csv,10,1.0,0.9,-0.1,0.791,0.77
fqa-subs-active-cost,subscriptions,num-filter,0,0,1,xlsx,10,0.0,1.0,1.0,0.3,0.8
fqa-subs-top-category,subscriptions,cat-groupby,0,0,1,xlsx,10,0.0,1.0,1.0,0.8,0.8
fqa-fin-avg-month-2024,spending,num-avg,0,1,1,csv,10,0.1,1.0,0.9,0.339,0.773
fqa-fin-yoy,spending,num-multistep,0,0,1,csv,10,0.1,1.0,0.9,0.251,0.729
fqa-screen-days-over-150,screen-time,num-filter,0,0,1,tsv,10,0.1,1.0,0.9,0.207,0.703
fqa-xf-sleep-screen,sleep,mf-join-aggregate,1,0,2,jsonl|tsv,10,0.1,1.0,0.9,0.251,0.751
fqa-fin-second-cat,spending,cat-rank,0,0,1,csv,10,0.4,1.0,0.6,0.8,0.8
fqa-fit-top-activity,fitness,cat-groupby,0,0,1,csv,10,0.4,1.0,0.6,0.8,0.8
fqa-xf-run-goal,fitness,mf-doc-join,1,0,2,csv|md,10,0.4,1.0,0.6,0.374,0.702
fqa-screen-second-app,screen-time,cat-rank,0,1,1,tsv,10,0.5,1.0,0.5,0.8,0.8
fqa-screen-top-app,screen-time,cat-groupby,0,0,1,tsv,10,0.5,1.0,0.5,0.8,0.795
fqa-fin-top-cat,spending,cat-groupby,0,0,1,csv,10,0.6,1.0,0.4,0.8,0.8
fqa-fit-run-km,fitness,num-filter,0,0,1,csv,10,0.6,1.0,0.4,0.388,0.783
fqa-fin-groceries-delta,spending,num-multistep,0,0,1,csv,10,0.7,1.0,0.3,0.503,0.766
fqa-fin-peak-month-2024,spending,temporal-max,0,1,2,csv,10,0.7,1.0,0.3,0.749,0.77
fqa-mf-run-days-minutes,fitness,mf-doc-join,1,0,2,csv|txt,10,0.7,1.0,0.3,0.503,0.789
fqa-xf-lease-vs-spend,housing,mf-doc-join,1,0,2,csv|pdf,10,0.7,1.0,0.3,0.483,0.722
fqa-fin-rent-2024,spending,num-filter,0,0,1,csv,10,0.8,1.0,0.2,0.568,0.8
fqa-mf-rent-vs-budget,spending,mf-join-compare,1,0,2,csv,10,0.8,1.0,0.2,0.568,0.768
fqa-sleep-at-least-8,sleep,num-filter,0,0,1,jsonl,10,0.8,1.0,0.2,0.531,0.794
fqa-xf-contacts-nights,contacts,mf-join-aggregate,1,1,2,csv|json,10,0.8,1.0,0.2,0.568,0.786
fqa-fit-longest,fitness,num-max,0,0,1,csv,10,0.9,1.0,0.1,0.669,0.723
fqa-read-finished-pages,reading,num-aggregate,0,0,1,csv,10,0.9,1.0,0.1,0.639,0.793
fqa-contacts-out-of-touch,contacts,text-max,0,0,1,json,10,1.0,1.0,0.0,0.8,0.8
fqa-goals-most-behind,goals,text-lookup,0,0,1,md,10,1.0,1.0,0.0,0.8,0.8
fqa-jrnl-apr19,journal,text-lookup,0,0,1,txt,10,1.0,1.0,0.0,0.8,0.733
fqa-jrnl-entries,journal,text-count,0,1,1,txt,10,1.0,1.0,0.0,0.71,0.767
fqa-jrnl-kyoto,journal,text-search,0,0,1,txt,10,1.0,1.0,0.0,0.791,0.73
fqa-jrnl-stressed,journal,text-count,0,0,1,txt,10,1.0,1.0,0.0,0.71,0.773
fqa-notool,general,no-tool,0,0,0,,10,1.0,1.0,0.0,0.8,0.8
fqa-pdf-deposit,housing,text-lookup,0,0,1,pdf,10,1.0,1.0,0.0,0.71,0.745
fqa-pdf-parking,housing,text-lookup,0,1,1,pdf,10,1.0,1.0,0.0,0.71,0.783
fqa-pdf-rent,housing,text-lookup,0,0,1,pdf,10,1.0,1.0,0.0,0.71,0.8
fqa-read-avg-rating,reading,num-avg,0,0,1,csv,10,1.0,1.0,0.0,0.71,0.768
fqa-read-rated5,reading,num-filter,0,0,1,csv,10,1.0,1.0,0.0,0.71,0.669
fqa-trip-countries,travel,distinct-count,0,0,1,csv,10,1.0,1.0,0.0,0.71,0.783
fqa-trip-leisure-nights,travel,cat-filter,0,0,1,csv,10,1.0,1.0,0.0,0.71,0.8
fqa-trip-total-nights,travel,num-aggregate,0,0,1,csv,10,1.0,1.0,0.0,0.686,0.783
fqa-xf-contacts-visited,contacts,mf-join-filter,1,0,2,csv|json,10,1.0,1.0,0.0,0.8,0.8
fqa-xf-dining-cap-months,spending,mf-doc-join,1,0,2,csv|md,10,1.0,1.0,0.0,0.686,0.795
fqa-xf-nationality-pages,reading,mf-join-groupby,1,0,2,csv,10,1.0,1.0,0.0,0.797,0.8
