tier,n_cases,bare_acc,fella_acc,delta
refusal,1,0.8,0.5,-0.3
bool-filter,1,0.9,0.9,0.0
text-list,1,1.0,0.9,-0.1
text-min,1,0.0,0.9,0.9
distinct-count,4,0.925,0.925,0.0
text-max,3,1.0,0.933,-0.067
num-aggregate,6,0.433,0.933,0.5
num-avg,5,0.48,0.94,0.46
cat-filter,2,1.0,0.95,-0.05
mf-join-compare,2,0.6,0.95,0.35
cat-groupby,5,0.48,0.96,0.48
num-filter,9,0.522,0.967,0.444
mf-join-aggregate,3,0.6,0.967,0.367
num-multistep,2,0.4,1.0,0.6
temporal-max,1,0.7,1.0,0.3
cat-rank,2,0.45,1.0,0.55
num-max,1,0.9,1.0,0.1
text-lookup,5,1.0,1.0,0.0
text-count,2,1.0,1.0,0.0
text-search,1,1.0,1.0,0.0
mf-doc-join,4,0.7,1.0,0.3
no-tool,1,1.0,1.0,0.0
mf-join-filter,1,1.0,1.0,0.0
mf-join-groupby,1,1.0,1.0,0.0
