rung,model,harness,case,tier,correct,correct_rate,closeness_det,waste,prompt_tok,completion_tok,steps,hard_fail,total_s,err
1,deepseek-v4-flash-0731,bare,fqa-contacts-close-count,cat-filter,1,1.0,0.71,0,429,25,0,0,0.838,
1,deepseek-v4-flash-0731,bare,fqa-contacts-countries,distinct-count,1,1.0,0.71,0,1256,47,0,0,0.866,
1,deepseek-v4-flash-0731,bare,fqa-contacts-out-of-touch,text-max,1,1.0,0.8,0,426,27,0,0,1.518,
1,deepseek-v4-flash-0731,bare,fqa-fin-avg-month-2024,num-avg,0,0.0,0.2,0,2776,669,0,0,27.716,
1,deepseek-v4-flash-0731,bare,fqa-fin-groceries-delta,num-multistep,0,0.0,0.2,0,1949,853,0,0,33.919,
1,deepseek-v4-flash-0731,bare,fqa-fin-peak-month-2024,temporal-max,0,0.0,0.8,0,2818,1024,0,0,43.33,
1,deepseek-v4-flash-0731,bare,fqa-fin-q1-2024,num-filter,1,1.0,0.71,0,1949,316,0,0,13.983,
1,deepseek-v4-flash-0731,bare,fqa-fin-rent-2024,num-filter,1,1.0,0.71,0,1941,305,0,0,8.976,
1,deepseek-v4-flash-0731,bare,fqa-fin-second-cat,cat-rank,0,0.0,0.8,0,1944,1024,0,0,42.534,
1,deepseek-v4-flash-0731,bare,fqa-fin-top-cat,cat-groupby,0,0.0,0.8,0,1294,682,0,0,51.514,
1,deepseek-v4-flash-0731,bare,fqa-fin-total-2024,num-aggregate,1,0.6667,0.5733,0,1941,888,0,0,19.007,
1,deepseek-v4-flash-0731,bare,fqa-fin-yoy,num-multistep,0,0.0,0.3,0,1952,1024,0,0,42.933,
1,deepseek-v4-flash-0731,bare,fqa-fit-avg-session,num-avg,0,0.0,0.3,0,1563,1024,0,0,35.761,
1,deepseek-v4-flash-0731,bare,fqa-fit-distinct-activities,distinct-count,1,1.0,0.71,0,1563,37,0,0,2.149,
1,deepseek-v4-flash-0731,bare,fqa-fit-longest,num-max,1,1.0,0.71,0,1561,235,0,0,9.052,
1,deepseek-v4-flash-0731,bare,fqa-fit-run-count,num-filter,1,1.0,0.71,0,1560,374,0,0,11.656,
