rung,model,n,bare_acc,fella_acc,dacc,dacc_lo,dacc_hi,consistency,tokpc_bare,tokpc_fella,usdpc_bare,usdpc_fella,selfcatch,avg_steps,avg_waste
1,deepseek-v4-flash-0731,64,0.6719,1.0,0.3281,0.2188,0.4375,0.9844,2634.0465,4364.2031,0.0002,0.0003,0.0,1.0156,0.0
2,glm-5.3-flash,64,0.6875,0.9688,0.2812,0.1562,0.4062,0.9531,2399.6364,4027.5,0.0003,0.0003,0.0,1.0,0.0
4,gemma4:31b,64,0.5312,1.0,0.4688,0.3594,0.5938,1.0,3396.3529,3706.3281,0.0,0.0,0.0,1.0312,0.0
5,gpt-5.6-luna,64,0.5938,0.9844,0.3906,0.2656,0.5156,0.9688,2098.1316,3092.0794,0.0004,0.0007,0.0,0.9531,0.0
6,muse-glimmer-30b,64,0.6094,0.6719,0.0625,-0.0938,0.2188,0.4688,3087.2051,7748.3953,0.0017,0.003,0.0,0.8594,0.2812
7,inkling-small,64,0.6875,0.9844,0.2969,0.1875,0.4219,0.9844,2462.9318,3900.0635,0.0016,0.0018,0.0,1.1562,0.0781
8,gemini-3.8-flash,64,0.8281,0.9844,0.1562,0.0625,0.25,0.9688,2666.2453,3575.4286,0.0038,0.0033,0.0,1.0312,0.0
9,deepseek-v4-pro-0813,64,0.625,1.0,0.375,0.2656,0.5,1.0,2709.525,4375.0938,0.0039,0.0049,0.0,0.9844,0.0
10,muse-spark-1.3,64,0.6562,0.9688,0.3125,0.1875,0.4375,0.9531,2902.0,5673.3065,0.0066,0.0094,0.0,1.0625,0.0781
11,grok-4.3,64,0.9219,1.0,0.0781,0.0156,0.1562,1.0,2307.4407,4237.2188,0.0039,0.0056,0.0,1.0312,0.0
