date,vendor,total
2019-10-02,pharmacy,86.77
2019-11-09,petrol,58.72
2019-12-25,hardware store,12.55
2019-05-17,petrol,20.49
2019-05-08,petrol,4.1
2019-09-10,bookshop,27.96
2019-06-21,cafe,44.88
2019-04-18,cafe,6.52
2019-07-23,pharmacy,8.76
2019-04-16,bookshop,10.97
2019-04-22,bookshop,83.56
2019-04-16,hardware store,63.84
2019-12-14,pharmacy,62.7
2019-04-01,pharmacy,67.57
2019-09-03,cafe,46.63
2019-04-10,cafe,23.85
2019-04-09,pharmacy,13.37
2019-10-16,petrol,20.11
2019-04-16,bookshop,82.29
2019-01-20,cafe,83.29
2019-01-07,hardware store,87.77
2019-03-14,hardware store,65.05
2019-03-13,bookshop,81.24
2019-06-24,hardware store,89.79
2019-03-11,cafe,19.95
2019-09-24,bookshop,6.74
2019-11-24,bookshop,76.16
2019-06-15,cafe,13.37
2019-02-09,hardware store,34.23
2019-02-18,cafe,36.69
2019-05-27,bookshop,11.55
2019-12-16,cafe,36.05
2019-08-07,pharmacy,35.33
2019-08-01,bookshop,25.33
2019-11-25,bookshop,7.5
2019-01-15,hardware store,73.09
2019-01-09,cafe,68.27
2019-10-11,pharmacy,27.42
2019-10-02,pharmacy,68.19
2019-12-11,pharmacy,29.58
