date	app	minutes
2024-01-01	browser	37
2024-01-01	music	53
2024-01-01	messages	39
2024-01-01	news	14
2024-01-01	maps	22
2024-01-01	podcasts	11
2024-01-02	browser	39
2024-01-02	music	33
2024-01-02	messages	43
2024-01-02	news	14
2024-01-02	maps	16
2024-01-02	podcasts	7
2024-01-03	browser	36
2024-01-03	music	37
2024-01-03	messages	43
2024-01-03	news	25
2024-01-03	maps	7
2024-01-03	podcasts	7
2024-01-04	browser	40
2024-01-04	music	47
2024-01-04	messages	28
2024-01-04	news	26
2024-01-04	maps	14
2024-01-04	podcasts	10
2024-01-05	browser	56
2024-01-05	music	31
2024-01-05	messages	26
2024-01-05	news	20
2024-01-05	maps	4
2024-01-05	podcasts	11
2024-01-06	browser	31
2024-01-06	music	35
2024-01-06	messages	32
2024-01-06	news	24
2024-01-06	maps	16
2024-01-06	podcasts	0
2024-01-07	browser	54
2024-01-07	music	35
2024-01-07	messages	31
2024-01-07	news	29
2024-01-07	maps	11
2024-01-07	podcasts	16
2024-01-08	browser	34
2024-01-08	music	28
2024-01-08	messages	44
2024-01-08	news	35
2024-01-08	maps	9
2024-01-08	podcasts	3
2024-01-09	browser	35
2024-01-09	music	33
2024-01-09	messages	23
2024-01-09	news	11
2024-01-09	maps	7
2024-01-09	podcasts	8
2024-01-10	browser	38
2024-01-10	music	51
2024-01-10	messages	28
2024-01-10	news	31
2024-01-10	maps	10
2024-01-10	podcasts	12
2024-01-11	browser	39
2024-01-11	music	42
2024-01-11	messages	44
2024-01-11	news	26
2024-01-11	maps	20
2024-01-11	podcasts	15
2024-01-12	browser	50
2024-01-12	music	27
2024-01-12	messages	23
2024-01-12	news	11
2024-01-12	maps	7
2024-01-12	podcasts	13
2024-01-13	browser	34
2024-01-13	music	33
2024-01-13	messages	45
2024-01-13	news	10
2024-01-13	maps	22
2024-01-13	podcasts	2
2024-01-14	browser	46
2024-01-14	music	27
2024-01-14	messages	34
2024-01-14	news	17
2024-01-14	maps	4
2024-01-14	podcasts	8
2024-01-15	browser	37
2024-01-15	music	39
2024-01-15	messages	15
2024-01-15	news	20
2024-01-15	maps	19
2024-01-15	podcasts	13
2024-01-16	browser	47
2024-01-16	music	44
2024-01-16	messages	19
2024-01-16	news	11
2024-01-16	maps	18
2024-01-16	podcasts	7
2024-01-17	browser	37
2024-01-17	music	30
2024-01-17	messages	23
2024-01-17	news	11
2024-01-17	maps	7
2024-01-17	podcasts	6
2024-01-18	browser	49
2024-01-18	music	45
2024-01-18	messages	24
2024-01-18	news	26
2024-01-18	maps	8
2024-01-18	podcasts	9
2024-01-19	browser	58
2024-01-19	music	41
2024-01-19	messages	36
2024-01-19	news	15
2024-01-19	maps	10
2024-01-19	podcasts	11
2024-01-20	browser	31
2024-01-20	music	33
2024-01-20	messages	16
2024-01-20	news	10
2024-01-20	maps	2
2024-01-20	podcasts	16
2024-01-21	browser	65
2024-01-21	music	31
2024-01-21	messages	31
2024-01-21	news	25
2024-01-21	maps	9
2024-01-21	podcasts	14
2024-01-22	browser	36
2024-01-22	music	46
2024-01-22	messages	41
2024-01-22	news	30
2024-01-22	maps	15
2024-01-22	podcasts	15
2024-01-23	browser	64
2024-01-23	music	51
2024-01-23	messages	43
2024-01-23	news	22
2024-01-23	maps	18
2024-01-23	podcasts	9
2024-01-24	browser	43
2024-01-24	music	32
2024-01-24	messages	25
2024-01-24	news	16
2024-01-24	maps	22
2024-01-24	podcasts	4
2024-01-25	browser	55
2024-01-25	music	36
2024-01-25	messages	16
2024-01-25	news	14
2024-01-25	maps	2
2024-01-25	podcasts	2
2024-01-26	browser	46
2024-01-26	music	38
2024-01-26	messages	20
2024-01-26	news	11
2024-01-26	maps	4
2024-01-26	podcasts	12
2024-01-27	browser	62
2024-01-27	music	46
2024-01-27	messages	24
2024-01-27	news	29
2024-01-27	maps	9
2024-01-27	podcasts	9
2024-01-28	browser	32
2024-01-28	music	39
2024-01-28	messages	20
2024-01-28	news	15
2024-01-28	maps	10
2024-01-28	podcasts	14
2024-02-01	browser	30
2024-02-01	music	33
2024-02-01	messages	26
2024-02-01	news	20
