month,category,amount
2023-01,rent,1172.58
2023-01,groceries,388.61
2023-01,transport,102.15
2023-01,utilities,126.24
2023-01,dining,187.34
2023-02,rent,1187.65
2023-02,groceries,376.91
2023-02,transport,98.06
2023-02,utilities,124.77
2023-02,dining,181.82
2023-03,rent,1081.15
2023-03,groceries,381.03
2023-03,transport,95.7
2023-03,utilities,157.93
2023-03,dining,165.09
2023-04,rent,1136.37
2023-04,groceries,448.66
2023-04,transport,110.61
2023-04,utilities,147.44
2023-04,dining,179.82
2023-05,rent,1407.45
2023-05,groceries,375.47
2023-05,transport,108.07
2023-05,utilities,135.36
2023-05,dining,166.19
2023-06,rent,1098.41
2023-06,groceries,408.47
2023-06,transport,106.86
2023-06,utilities,130.79
2023-06,dining,189.81
2023-07,rent,1286.01
2023-07,groceries,416.52
2023-07,transport,99.21
2023-07,utilities,125.84
2023-07,dining,161.62
2023-08,rent,1130.15
2023-08,groceries,455.33
2023-08,transport,95.79
2023-08,utilities,136.39
2023-08,dining,190.02
2023-09,rent,1219.15
2023-09,groceries,407.37
2023-09,transport,106.24
2023-09,utilities,152.56
2023-09,dining,171.58
2023-10,rent,1262.79
2023-10,groceries,435.77
2023-10,transport,108.54
2023-10,utilities,153.84
2023-10,dining,173.95
2023-11,rent,1408.86
2023-11,groceries,384.48
2023-11,transport,95.52
2023-11,utilities,155.0
2023-11,dining,166.61
2023-12,rent,1232.03
2023-12,groceries,374.54
2023-12,transport,102.64
2023-12,utilities,155.31
2023-12,dining,189.34
2024-01,rent,1431.17
2024-01,groceries,409.13
2024-01,transport,103.42
2024-01,utilities,148.16
2024-01,dining,189.71
2024-02,rent,1280.23
2024-02,groceries,475.44
2024-02,transport,110.52
2024-02,utilities,143.11
2024-02,dining,194.26
2024-03,rent,1137.84
2024-03,groceries,457.99
2024-03,transport,102.04
2024-03,utilities,164.91
2024-03,dining,202.78
2024-04,rent,1218.45
2024-04,groceries,418.21
2024-04,transport,102.66
2024-04,utilities,124.15
2024-04,dining,183.33
2024-05,rent,1176.5
2024-05,groceries,384.35
2024-05,transport,85.28
2024-05,utilities,155.47
2024-05,dining,165.38
2024-06,rent,1205.14
2024-06,groceries,418.86
2024-06,transport,108.44
2024-06,utilities,126.58
2024-06,dining,182.66
2024-07,rent,1313.8
2024-07,groceries,480.91
2024-07,transport,106.95
2024-07,utilities,159.49
2024-07,dining,173.43
2024-08,rent,1265.51
2024-08,groceries,414.81
2024-08,transport,108.8
2024-08,utilities,163.42
2024-08,dining,166.55
2024-09,rent,1179.44
2024-09,groceries,398.83
2024-09,transport,90.25
2024-09,utilities,143.57
2024-09,dining,190.21
2024-10,rent,1210.59
2024-10,groceries,370.12
2024-10,transport,95.54
2024-10,utilities,138.71
2024-10,dining,188.98
2024-11,rent,1459.12
2024-11,groceries,456.6
2024-11,transport,98.29
2024-11,utilities,149.14
2024-11,dining,194.91
2024-12,rent,1135.44
2024-12,groceries,482.94
2024-12,transport,105.83
2024-12,utilities,159.93
2024-12,dining,201.49
