date,activity,minutes,distance_km
2024-01-01,yoga,45,0
2024-01-02,yoga,45,0
2024-01-03,run,50,8.7
2024-01-04,run,32,3.6
2024-01-05,bike,48,4.5
2024-01-06,swim,58,3.5
2024-01-07,run,56,4.4
2024-01-08,run,43,8.5
2024-01-09,run,75,4.9
2024-01-10,yoga,29,0
2024-01-11,swim,42,8.4
2024-01-12,yoga,27,0
2024-01-13,run,74,7.4
2024-01-14,yoga,50,0
2024-01-15,yoga,39,0
2024-01-16,run,29,3.9
2024-01-17,swim,67,5.4
2024-01-18,bike,53,3.2
2024-01-19,lift,43,0
2024-01-20,bike,64,7.9
2024-01-21,run,68,7.8
2024-01-22,run,64,10.6
2024-01-23,lift,43,0
2024-01-24,bike,42,9.9
2024-01-25,lift,54,0
2024-01-26,lift,41,0
2024-01-27,bike,59,10.3
2024-01-28,bike,71,5.2
2024-02-01,yoga,67,0
2024-02-02,bike,32,7.7
2024-02-03,swim,66,3.3
2024-02-04,run,70,5.5
2024-02-05,swim,32,9.2
2024-02-06,swim,48,10.3
2024-02-07,swim,43,3.7
2024-02-08,run,34,7.2
2024-02-09,swim,33,7.3
2024-02-10,lift,73,0
2024-02-11,run,50,11.2
2024-02-12,swim,71,8.8
2024-02-13,run,44,10.0
2024-02-14,bike,50,11.0
2024-02-15,yoga,70,0
2024-02-16,swim,25,10.2
2024-02-17,yoga,49,0
2024-02-18,yoga,67,0
2024-02-19,run,66,4.4
2024-02-20,bike,21,4.4
2024-02-21,yoga,71,0
2024-02-22,bike,59,10.4
2024-02-23,yoga,62,0
2024-02-24,swim,29,7.9
2024-02-25,bike,21,3.1
2024-02-26,run,53,9.7
2024-02-27,bike,47,11.9
2024-02-28,bike,72,10.9
2024-03-01,run,36,4.9
2024-03-02,lift,35,0
2024-03-03,lift,40,0
2024-03-04,swim,54,6.8
2024-03-05,bike,23,11.2
2024-03-06,swim,49,9.0
2024-03-07,lift,46,0
2024-03-08,lift,28,0
2024-03-09,lift,29,0
2024-03-10,lift,52,0
2024-03-11,run,75,7.0
2024-03-12,bike,58,3.0
2024-03-13,bike,31,4.3
2024-03-14,lift,66,0
2024-03-15,run,55,3.6
2024-03-16,lift,53,0
2024-03-17,lift,50,0
2024-03-18,run,55,3.5
2024-03-19,bike,37,3.4
2024-03-20,run,52,7.1
2024-03-21,run,68,11.0
2024-03-22,run,48,5.9
2024-03-23,lift,58,0
2024-03-24,lift,32,0
2024-03-25,swim,48,7.6
2024-03-26,yoga,52,0
2024-03-27,bike,64,7.7
2024-03-28,swim,55,11.0
2024-04-01,bike,73,7.0
2024-04-02,yoga,27,0
2024-04-03,yoga,48,0
2024-04-04,swim,24,9.0
2024-04-05,yoga,24,0
2024-04-06,bike,62,5.7
