date,amount,category,merchant
2024-01-03,"$1,200.00",Rent,Landlord LLC
2024-01-14,45.20,groceries,Corner Market
03/04/2024,"1,200",HOUSING,Landlord LLC
2024-02-19,88.10,Grocery,Corner Market
4 Mar 2024,1200,mortgage,Landlord LLC
2024-03-11,12.00,transport,Metro Card
2024-04-03,"$1,250.00",rent,Landlord LLC
2024-04-22,52.00,grocery store,Corner Market
2024-05-03,"$1,250.00",Rent,Landlord LLC
2024-05-18,9.50,transport,Metro Card
06/03/2024,1250,housing,Landlord LLC
2024-06-12,-18.00,groceries,Corner Market
2024-06-20,(22.50),groceries,Corner Market
2024-07-03,"$1,250.00",RENT,Landlord LLC
2024-07-15,60.00,Groceries,Corner Market
2024-07-09,14.40,dining,Bob’s Diner
07/25/2024,22.00,transport,Metro Card
,8862.7,TOTAL,
