date,description,amount
2024-01-01,Amazon order,148.65
2024-02-02,Coffee shop,83.31
2024-03-03,Gas station,166.93
2024-04-04,Pharmacy,71.33
2024-05-05,Restaurant,90.92
2024-06-06,Gas station,130.06
2024-07-07,Restaurant,83.64
2024-08-08,Coffee shop,149.86
2024-09-09,Gas station,157.62
2024-10-10,Amazon order,11.3
2024-11-11,Gas station,104.42
2024-12-12,Gas station,118.27
2024-01-13,Restaurant,7.36
2024-02-14,Grocery run,75.31
2024-03-15,Grocery run,8.35
2024-04-16,Gas station,45.78
2024-05-17,Grocery run,144.25
2024-06-18,Coffee shop,82.58
2024-07-19,Amazon order,114.87
2024-08-20,Gas station,172.69
2024-09-21,Grocery run,39.08
2024-10-22,Pharmacy,49.06
2024-11-23,Coffee shop,136.89
2024-12-24,Restaurant,129.69
2024-01-25,Grocery run,43.86
2024-02-26,Gas station,98.99
2024-03-27,Restaurant,92.07
2024-04-01,Amazon order,179.44
2024-05-02,Grocery run,73.26
2024-06-03,Grocery run,19.35
2024-07-04,Pharmacy,26.86
2024-08-05,Pharmacy,38.65
2024-09-06,Coffee shop,70.32
2024-10-07,Restaurant,118.87
2024-11-08,Restaurant,144.23
2024-12-09,Gas station,85.61
2024-01-10,Amazon order,118.63
2024-02-11,Grocery run,21.42
2024-03-12,Coffee shop,41.54
2024-04-13,Pharmacy,176.57
2024-05-14,Gas station,98.5
2024-06-15,Gas station,50.09
2024-07-16,Coffee shop,65.34
2024-08-17,Coffee shop,10.54
2024-09-18,Gas station,100.85
2024-10-19,Amazon order,139.21
2024-11-20,Pharmacy,165.88
2024-12-21,Grocery run,146.41
2024-01-22,Coffee shop,79.49
2024-02-23,Coffee shop,34.43
2024-03-24,Gas station,124.84
2024-04-25,Grocery run,86.82
2024-05-26,Restaurant,162.5
2024-06-27,Restaurant,151.84
2024-07-01,Amazon order,125.33
2024-08-02,Pharmacy,105.9
2024-09-03,Coffee shop,137.38
2024-10-04,Pharmacy,96.69
2024-11-05,Gas station,150.28
2024-12-06,Restaurant,116.44
2024-01-07,Restaurant,94.5
2024-02-08,Restaurant,49.15
2024-03-09,Pharmacy,172.04
2024-04-10,Amazon order,157.13
2024-05-11,Restaurant,40.65
2024-06-12,Grocery run,174.45
2024-07-13,Restaurant,52.04
2024-08-14,Pharmacy,39.37
2024-09-15,Restaurant,24.11
2024-10-16,Coffee shop,110.52
2024-11-17,Coffee shop,98.74
2024-12-18,Coffee shop,94.82
2024-01-19,Amazon order,74.5
2024-02-20,Restaurant,25.46
2024-03-21,Coffee shop,125.61
2024-04-22,Coffee shop,167.83
2024-05-23,Pharmacy,76.82
2024-06-24,Pharmacy,51.38
2024-07-25,Pharmacy,90.77
2024-08-26,Gas station,80.33
2024-09-27,Pharmacy,96.4
2024-10-01,Amazon order,23.12
2024-11-02,Pharmacy,112.75
2024-12-03,Gas station,26.79
2024-01-04,Coffee shop,10.27
2024-02-05,Grocery run,44.0
2024-03-06,Gas station,60.69
2024-04-07,Gas station,47.03
2024-05-08,Pharmacy,22.46
2024-06-09,Restaurant,25.61
2024-07-10,Amazon order,93.84
2024-08-11,Gas station,130.31
2024-09-12,Restaurant,158.66
2024-10-13,Coffee shop,70.13
2024-11-14,Pharmacy,149.23
2024-12-15,Restaurant,32.11
2024-01-16,Grocery run,156.04
2024-02-17,Restaurant,116.37
2024-03-18,Restaurant,42.05
2024-04-19,Amazon order,99.56
2024-05-20,Restaurant,154.79
2024-06-21,Grocery run,165.01
2024-07-22,Gas station,162.87
2024-08-23,Gas station,110.15
